loyalty_id,user_id,category,brand,stay_months,switched,switch_to_date
L0000001,U004962,纸尿裤,大王,12,0,
L0000002,U001133,纸尿裤,大王,16,1,2022-04-15
L0000003,U002483,纸尿裤,大王,1,0,
L0000004,U001715,纸尿裤,大王,6,1,2024-04-15
L0000005,U005981,纸尿裤,大王,18,1,2023-02-15
L0000006,U005604,纸尿裤,花王,10,1,2021-11-15
L0000007,U002178,纸尿裤,花王,12,1,2023-10-15
L0000008,U003396,纸尿裤,帮宝适,11,1,2024-10-15
L0000009,U000089,纸尿裤,妈咪宝贝,6,0,
L0000010,U004530,纸尿裤,花王,8,0,
L0000011,U001325,纸尿裤,帮宝适,7,1,2019-03-15
L0000012,U001697,纸尿裤,花王,7,1,2018-11-15
L0000013,U000481,纸尿裤,大王,7,1,2018-08-15
L0000014,U001854,纸尿裤,露安适,13,1,2024-07-15
L0000015,U000854,纸尿裤,露安适,6,0,
L0000016,U002698,纸尿裤,帮宝适,5,1,2019-07-15
L0000017,U000491,纸尿裤,好奇,20,1,2019-02-15
L0000018,U002729,纸尿裤,帮宝适,3,1,2022-07-15
L0000019,U005154,纸尿裤,妈咪宝贝,3,0,
L0000020,U001466,纸尿裤,露安适,7,1,2019-11-15
L0000021,U000558,纸尿裤,好奇,3,1,2024-03-15
L0000022,U003086,纸尿裤,帮宝适,1,1,2024-07-15
L0000023,U005649,纸尿裤,露安适,9,0,
L0000024,U001085,纸尿裤,妈咪宝贝,10,0,
L0000025,U001852,纸尿裤,露安适,5,0,
L0000026,U001628,纸尿裤,帮宝适,14,0,
L0000027,U000411,纸尿裤,妈咪宝贝,3,1,2023-07-15
L0000028,U004517,纸尿裤,妈咪宝贝,6,1,2018-12-15
L0000029,U003948,纸尿裤,帮宝适,16,0,
L0000030,U004258,纸尿裤,大王,13,1,2024-11-15
L0000031,U005832,纸尿裤,好奇,15,1,2019-10-15
L0000032,U003633,纸尿裤,露安适,7,0,
L0000033,U005007,纸尿裤,大王,6,1,2022-04-15
L0000034,U004839,纸尿裤,露安适,2,1,2018-12-15
L0000035,U001809,纸尿裤,帮宝适,6,1,2022-10-15
L0000036,U002154,纸尿裤,花王,14,0,
L0000037,U001928,纸尿裤,大王,5,1,2023-12-15
L0000038,U003589,纸尿裤,花王,3,0,
L0000039,U002744,纸尿裤,好奇,3,1,2024-11-15
L0000040,U001679,纸尿裤,好奇,7,1,2018-03-15
L0000041,U005707,纸尿裤,大王,14,0,
L0000042,U001691,纸尿裤,露安适,3,1,2019-04-15
L0000043,U000528,纸尿裤,露安适,15,1,2019-12-15
L0000044,U005348,纸尿裤,大王,3,0,
L0000045,U003921,纸尿裤,帮宝适,6,1,2020-01-15
L0000046,U004951,纸尿裤,好奇,9,0,
L0000047,U005307,纸尿裤,妈咪宝贝,7,1,2020-12-15
L0000048,U002519,纸尿裤,大王,6,1,2022-12-15
L0000049,U005842,纸尿裤,花王,9,0,
L0000050,U001995,纸尿裤,花王,7,1,2021-01-15
L0000051,U003455,纸尿裤,好奇,10,1,2022-01-15
L0000052,U001875,纸尿裤,花王,3,0,
L0000053,U003784,纸尿裤,花王,4,1,2023-11-15
L0000054,U002988,纸尿裤,露安适,12,1,2024-11-15
L0000055,U005281,纸尿裤,大王,11,0,
L0000056,U001911,纸尿裤,大王,10,1,2023-11-15
L0000057,U000371,纸尿裤,妈咪宝贝,11,1,2021-07-15
L0000058,U004411,纸尿裤,帮宝适,12,1,2023-02-15
L0000059,U000245,纸尿裤,露安适,2,1,2022-09-15
L0000060,U000307,纸尿裤,妈咪宝贝,19,1,2021-04-15
L0000061,U000863,纸尿裤,大王,4,0,
L0000062,U001325,纸尿裤,妈咪宝贝,3,1,2023-08-15
L0000063,U005806,纸尿裤,帮宝适,6,0,
L0000064,U003742,纸尿裤,帮宝适,11,1,2024-06-15
L0000065,U004336,纸尿裤,花王,2,0,
L0000066,U005148,纸尿裤,大王,9,0,
L0000067,U000530,纸尿裤,露安适,8,1,2023-03-15
L0000068,U000841,纸尿裤,好奇,7,0,
L0000069,U000557,纸尿裤,好奇,6,1,2021-10-15
L0000070,U001916,纸尿裤,好奇,16,0,
L0000071,U003326,纸尿裤,好奇,9,0,
L0000072,U000201,纸尿裤,大王,6,1,2019-04-15
L0000073,U002742,纸尿裤,帮宝适,3,0,
L0000074,U005647,纸尿裤,好奇,15,0,
L0000075,U004392,纸尿裤,大王,10,1,2018-12-15
L0000076,U005415,纸尿裤,好奇,6,1,2019-11-15
L0000077,U004079,纸尿裤,花王,6,1,2020-09-15
L0000078,U002010,纸尿裤,花王,9,1,2019-07-15
L0000079,U000073,纸尿裤,露安适,11,0,
L0000080,U000958,纸尿裤,花王,10,0,
L0000081,U004235,纸尿裤,妈咪宝贝,11,0,
L0000082,U004788,纸尿裤,帮宝适,19,1,2024-07-15
L0000083,U000565,纸尿裤,大王,12,0,
L0000084,U001513,纸尿裤,露安适,2,0,
L0000085,U002547,纸尿裤,大王,3,0,
L0000086,U002942,纸尿裤,帮宝适,9,0,
L0000087,U002258,纸尿裤,露安适,3,0,
L0000088,U005918,纸尿裤,露安适,15,1,2018-08-15
L0000089,U003612,纸尿裤,露安适,4,1,2019-12-15
L0000090,U005834,纸尿裤,好奇,8,1,2022-09-15
L0000091,U003056,纸尿裤,妈咪宝贝,4,1,2023-01-15
L0000092,U002171,纸尿裤,帮宝适,4,1,2018-09-15
L0000093,U001697,纸尿裤,好奇,10,0,
L0000094,U003543,纸尿裤,花王,14,1,2020-06-15
L0000095,U003315,纸尿裤,妈咪宝贝,4,1,2019-04-15
L0000096,U000609,纸尿裤,帮宝适,4,1,2024-12-15
L0000097,U001360,纸尿裤,帮宝适,4,1,2023-01-15
L0000098,U002768,纸尿裤,帮宝适,9,0,
L0000099,U005726,纸尿裤,大王,11,1,2018-07-15
L0000100,U001869,纸尿裤,花王,14,0,
L0000101,U004591,纸尿裤,好奇,8,0,
L0000102,U000991,纸尿裤,大王,2,1,2018-01-15
L0000103,U004007,纸尿裤,帮宝适,13,1,2020-10-15
L0000104,U003221,纸尿裤,大王,4,0,
L0000105,U005173,纸尿裤,大王,11,1,2023-10-15
L0000106,U002206,纸尿裤,妈咪宝贝,6,1,2023-06-15
L0000107,U004585,纸尿裤,露安适,9,0,
L0000108,U001043,纸尿裤,花王,12,1,2019-01-15
L0000109,U002548,纸尿裤,好奇,3,1,2024-05-15
L0000110,U000658,纸尿裤,帮宝适,11,0,
L0000111,U003863,纸尿裤,花王,7,1,2022-11-15
L0000112,U000337,纸尿裤,大王,11,0,
L0000113,U001221,纸尿裤,露安适,5,0,
L0000114,U002991,纸尿裤,好奇,9,1,2021-09-15
L0000115,U000429,纸尿裤,露安适,4,1,2023-11-15
L0000116,U005244,纸尿裤,大王,5,0,
L0000117,U001381,纸尿裤,好奇,3,1,2018-08-15
L0000118,U001105,纸尿裤,帮宝适,5,1,2019-04-15
L0000119,U003243,纸尿裤,露安适,14,1,2024-05-15
L0000120,U005387,纸尿裤,花王,8,1,2019-12-15
L0000121,U004305,纸尿裤,露安适,6,1,2023-05-15
L0000122,U002472,纸尿裤,花王,8,0,
L0000123,U003332,纸尿裤,帮宝适,6,1,2021-12-15
L0000124,U002199,纸尿裤,妈咪宝贝,16,0,
L0000125,U003411,纸尿裤,花王,22,1,2019-11-15
L0000126,U005906,纸尿裤,花王,4,0,
L0000127,U003499,纸尿裤,大王,4,1,2024-03-15
L0000128,U000316,纸尿裤,露安适,7,1,2022-09-15
L0000129,U005246,纸尿裤,花王,8,0,
L0000130,U002427,纸尿裤,帮宝适,6,0,
L0000131,U004076,纸尿裤,花王,5,0,
L0000132,U005927,纸尿裤,花王,4,0,
L0000133,U004560,纸尿裤,妈咪宝贝,5,1,2020-05-15
L0000134,U001145,纸尿裤,花王,2,0,
L0000135,U001923,纸尿裤,妈咪宝贝,2,1,2023-07-15
L0000136,U003542,纸尿裤,帮宝适,5,1,2018-03-15
L0000137,U005284,纸尿裤,大王,26,0,
L0000138,U005542,纸尿裤,花王,5,0,
L0000139,U005804,纸尿裤,露安适,9,0,
