order_id,user_id,age_stage,category,amount,city_tier,order_date
O00000001,U001153,0-3月,纸尿裤,83.56,三线及以下,2010-09-18
O00000002,U001800,3-6岁,洗护用品,76.59,二线城市,2010-05-16
O00000003,U005973,0-3月,纸尿裤,296.11,三线及以下,2010-03-21
O00000004,U000055,孕期囤货,服饰,78.29,三线及以下,2010-08-16
O00000005,U001485,孕期囤货,儿童安全床,3602.91,一线城市,2010-06-13
O00000006,U001066,0-3月,服饰,182.56,一线城市,2010-02-27
O00000007,U003842,1-3岁,洗护用品,63.9,三线及以下,2010-02-05
O00000008,U004626,0-3月,奶粉,632.5,二线城市,2010-06-26
O00000009,U003494,3-6岁,安全座椅,2469.0,二线城市,2010-08-08
O00000010,U004401,1-3岁,辅食,79.02,三线及以下,2010-11-06
O00000011,U003076,6-12月,纸尿裤,218.88,三线及以下,2010-05-24
O00000012,U002579,3-6月,奶粉,202.74,三线及以下,2010-11-16
O00000013,U005040,3-6岁,洗护用品,112.59,一线城市,2010-05-05
O00000014,U001410,孕期囤货,营养品,629.02,一线城市,2010-08-15
O00000015,U002311,3-6岁,安全座椅,1534.97,三线及以下,2010-06-24
O00000016,U002176,孕期囤货,洗护用品,94.76,三线及以下,2010-08-01
O00000017,U004516,1-3岁,奶粉,395.96,三线及以下,2010-10-25
O00000018,U000001,0-3月,待产包,632.35,二线城市,2010-06-08
O00000019,U001751,1-3岁,纸尿裤,624.02,三线及以下,2010-02-19
O00000020,U004645,3-6月,奶粉,1547.26,一线城市,2010-03-24
O00000021,U004600,0-3月,纸尿裤,189.29,二线城市,2010-11-04
O00000022,U002844,3-6岁,营养品,320.67,三线及以下,2010-07-20
O00000023,U005410,3-6岁,奶粉,221.02,三线及以下,2010-03-06
O00000024,U003804,孕期囤货,儿童安全床,2168.77,二线城市,2010-01-21
O00000025,U000689,3-6月,服饰,78.82,三线及以下,2010-09-14
O00000026,U000672,3-6岁,玩具,130.13,三线及以下,2010-03-23
O00000027,U003246,1-3岁,纸尿裤,110.46,三线及以下,2010-10-20
O00000028,U005891,3-6岁,洗护用品,106.06,三线及以下,2010-10-24
O00000029,U004906,1-3岁,辅食,198.03,三线及以下,2010-10-28
O00000030,U000839,3-6月,纸尿裤,265.86,三线及以下,2010-07-05
O00000031,U002529,6-12月,纸尿裤,119.43,一线城市,2010-07-20
O00000032,U004714,0-3月,服饰,115.14,三线及以下,2010-09-08
O00000033,U002558,3-6岁,玩具,239.12,一线城市,2010-02-12
O00000034,U004716,3-6月,洗护用品,82.93,二线城市,2010-08-15
O00000035,U001086,3-6岁,安全座椅,2134.93,二线城市,2010-07-22
O00000036,U003868,1-3岁,辅食,81.63,三线及以下,2010-01-16
O00000037,U003466,0-3月,奶粉,303.5,一线城市,2010-09-11
O00000038,U003016,6-12月,纸尿裤,435.92,三线及以下,2010-11-22
O00000039,U001052,孕期囤货,儿童安全床,4369.74,二线城市,2010-05-18
O00000040,U005011,1-3岁,服饰,295.44,一线城市,2010-05-13
O00000041,U004711,孕期囤货,安全座椅,2491.36,一线城市,2010-09-14
O00000042,U003353,0-3月,纸尿裤,542.27,三线及以下,2010-03-22
O00000043,U001346,6-12月,辅食,206.94,一线城市,2010-02-04
O00000044,U000912,3-6月,服饰,124.11,一线城市,2010-01-25
O00000045,U002034,0-3月,待产包,847.46,一线城市,2010-10-19
O00000046,U001803,0-3月,奶粉,756.34,二线城市,2010-10-21
O00000047,U002070,孕期囤货,营养品,1132.6,二线城市,2010-07-03
O00000048,U003300,0-3月,服饰,188.16,一线城市,2010-10-04
O00000049,U005563,3-6月,奶粉,1407.66,一线城市,2010-06-19
O00000050,U004915,0-3月,奶粉,334.58,二线城市,2010-07-01
O00000051,U003542,1-3岁,辅食,184.45,三线及以下,2010-09-16
O00000052,U003313,3-6岁,玩具,172.07,三线及以下,2010-07-23
O00000053,U001969,3-6岁,辅食,485.71,二线城市,2010-02-27
O00000054,U004216,1-3岁,服饰,162.51,一线城市,2010-09-06
O00000055,U002453,6-12月,玩具,118.51,二线城市,2010-04-06
O00000056,U000561,孕期囤货,服饰,197.14,一线城市,2010-08-01
O00000057,U000914,孕期囤货,洗护用品,89.87,二线城市,2010-12-24
O00000058,U003375,0-3月,洗护用品,98.55,三线及以下,2010-08-25
O00000059,U005712,孕期囤货,服饰,112.47,三线及以下,2010-10-22
O00000060,U004322,0-3月,洗护用品,105.84,二线城市,2010-07-17
O00000061,U005792,6-12月,奶粉,1270.01,一线城市,2010-10-02
O00000062,U005861,6-12月,玩具,208.08,一线城市,2010-11-11
O00000063,U003113,孕期囤货,纸尿裤,512.49,二线城市,2010-04-16
O00000064,U002954,1-3岁,奶粉,623.08,二线城市,2010-02-06
O00000065,U005103,孕期囤货,营养品,1073.52,二线城市,2010-11-14
O00000066,U002964,3-6岁,辅食,283.93,三线及以下,2010-09-15
O00000067,U001346,6-12月,玩具,166.43,一线城市,2010-09-17
O00000068,U003576,3-6月,洗护用品,60.62,三线及以下,2010-06-24
O00000069,U005003,6-12月,纸尿裤,438.76,二线城市,2010-02-20
O00000070,U003593,0-3月,玩具,134.35,三线及以下,2010-10-16
O00000071,U005455,1-3岁,辅食,92.49,二线城市,2010-02-26
O00000072,U004438,3-6月,奶粉,168.16,三线及以下,2010-08-21
O00000073,U002118,6-12月,玩具,182.17,二线城市,2010-03-14
O00000074,U005344,1-3岁,辅食,239.96,三线及以下,2010-04-22
O00000075,U004517,1-3岁,服饰,102.03,三线及以下,2010-07-06
O00000076,U003056,0-3月,纸尿裤,355.29,二线城市,2010-04-05
O00000077,U000959,3-6岁,玩具,214.97,一线城市,2010-09-20
O00000078,U002758,3-6岁,玩具,155.31,一线城市,2010-10-11
O00000079,U002317,6-12月,玩具,114.36,三线及以下,2010-10-20
O00000080,U000343,6-12月,奶粉,1436.05,一线城市,2010-07-13
O00000081,U003322,孕期囤货,儿童安全床,2169.32,三线及以下,2010-01-05
O00000082,U000209,0-3月,纸尿裤,259.77,三线及以下,2010-09-15
O00000083,U005316,6-12月,辅食,131.21,三线及以下,2010-02-15
O00000084,U005744,3-6岁,玩具,171.82,三线及以下,2010-01-07
