user_id,age_stage,city_tier,income_level
U000001,0-3月,二线城市,中等收入
U000002,3-6月,一线城市,中等收入
U000003,3-6岁,三线及以下,中等收入
U000004,3-6岁,一线城市,中等收入
U000005,3-6月,三线及以下,高收入
U000006,1-3岁,一线城市,高收入
U000007,0-3月,一线城市,中高收入
U000008,3-6岁,一线城市,中低收入
U000009,1-3岁,三线及以下,中高收入
U000010,0-3月,三线及以下,中高收入
U000011,孕期囤货,三线及以下,中低收入
U000012,6-12月,三线及以下,中低收入
U000013,3-6月,二线城市,中等收入
U000014,孕期囤货,三线及以下,中等收入
U000015,孕期囤货,三线及以下,中高收入
U000016,0-3月,二线城市,中等收入
U000017,孕期囤货,三线及以下,中低收入
U000018,3-6岁,三线及以下,中高收入
U000019,6-12月,一线城市,高收入
U000020,0-3月,一线城市,中等收入
U000021,3-6月,一线城市,中等收入
U000022,3-6月,二线城市,中等收入
U000023,6-12月,三线及以下,中高收入
U000024,1-3岁,一线城市,中高收入
U000025,1-3岁,二线城市,中等收入
U000026,6-12月,二线城市,中等收入
U000027,1-3岁,三线及以下,中等收入
U000028,孕期囤货,三线及以下,中高收入
U000029,1-3岁,三线及以下,中等收入
U000030,6-12月,三线及以下,中等收入
U000031,3-6岁,三线及以下,中低收入
U000032,6-12月,三线及以下,中等收入
U000033,6-12月,三线及以下,中高收入
U000034,3-6岁,三线及以下,中高收入
U000035,3-6岁,三线及以下,中高收入
U000036,孕期囤货,一线城市,中高收入
U000037,6-12月,二线城市,高收入
U000038,6-12月,二线城市,中等收入
U000039,6-12月,一线城市,中等收入
U000040,6-12月,一线城市,中等收入
U000041,1-3岁,三线及以下,高收入
U000042,1-3岁,二线城市,中低收入
U000043,0-3月,一线城市,中高收入
U000044,3-6岁,一线城市,中高收入
U000045,3-6岁,一线城市,中高收入
U000046,3-6岁,一线城市,中低收入
U000047,3-6月,一线城市,中等收入
U000048,6-12月,一线城市,中低收入
U000049,3-6岁,三线及以下,中等收入
U000050,孕期囤货,二线城市,中等收入
U000051,6-12月,二线城市,中等收入
U000052,3-6岁,三线及以下,中高收入
U000053,1-3岁,二线城市,中低收入
U000054,3-6岁,三线及以下,中低收入
U000055,孕期囤货,三线及以下,中高收入
U000056,3-6月,三线及以下,中低收入
U000057,3-6月,一线城市,中高收入
U000058,3-6岁,二线城市,中低收入
U000059,3-6月,三线及以下,中等收入
U000060,6-12月,二线城市,中等收入
U000061,6-12月,一线城市,中高收入
U000062,3-6月,二线城市,中等收入
U000063,3-6月,三线及以下,中等收入
U000064,1-3岁,三线及以下,中高收入
U000065,3-6月,一线城市,中等收入
U000066,孕期囤货,三线及以下,高收入
U000067,3-6月,二线城市,中等收入
U000068,1-3岁,二线城市,中低收入
U000069,0-3月,二线城市,中高收入
U000070,3-6岁,三线及以下,中等收入
U000071,6-12月,三线及以下,高收入
U000072,1-3岁,二线城市,中等收入
U000073,孕期囤货,三线及以下,中等收入
U000074,孕期囤货,一线城市,中等收入
U000075,1-3岁,二线城市,中高收入
U000076,6-12月,三线及以下,高收入
U000077,6-12月,三线及以下,中高收入
U000078,3-6岁,二线城市,中等收入
U000079,1-3岁,三线及以下,高收入
U000080,3-6岁,三线及以下,中高收入
U000081,6-12月,三线及以下,中低收入
U000082,0-3月,一线城市,中等收入
U000083,6-12月,二线城市,中等收入
U000084,3-6月,三线及以下,中高收入
U000085,1-3岁,一线城市,中高收入
U000086,6-12月,一线城市,中等收入
U000087,6-12月,三线及以下,中等收入
U000088,孕期囤货,一线城市,中等收入
U000089,3-6岁,二线城市,中高收入
U000090,1-3岁,二线城市,高收入
U000091,3-6月,一线城市,中等收入
U000092,3-6月,二线城市,中等收入
U000093,3-6月,一线城市,中高收入
U000094,0-3月,三线及以下,中低收入
U000095,孕期囤货,三线及以下,中高收入
U000096,0-3月,二线城市,中等收入
U000097,0-3月,一线城市,中等收入
U000098,1-3岁,二线城市,中等收入
U000099,0-3月,一线城市,中等收入
U000100,孕期囤货,三线及以下,高收入
U000101,3-6月,三线及以下,中等收入
U000102,3-6岁,三线及以下,中低收入
U000103,1-3岁,二线城市,中高收入
U000104,6-12月,三线及以下,高收入
U000105,孕期囤货,三线及以下,高收入
U000106,1-3岁,三线及以下,中低收入
U000107,0-3月,二线城市,中高收入
U000108,6-12月,一线城市,中高收入
U000109,孕期囤货,二线城市,中高收入
U000110,1-3岁,三线及以下,中高收入
U000111,3-6岁,二线城市,中低收入
U000112,6-12月,一线城市,中高收入
U000113,0-3月,三线及以下,高收入
U000114,0-3月,一线城市,中高收入
U000115,6-12月,一线城市,中低收入
U000116,3-6岁,一线城市,中低收入
U000117,6-12月,二线城市,中高收入
U000118,3-6月,一线城市,中高收入
U000119,6-12月,二线城市,中高收入
U000120,3-6月,二线城市,中高收入
